0,1
,Amount
Service Description,
,-without VAT-
Basic Fee wmView,"130,00 €"
Basis fee for additional user accounts,"10,00 €"
Basic Fee wmPos,"50,00 €"
Basic Fee wmGuide,"1.000,00 €"
Change of user accounts,"10,00 €"
Transaction Fee T1,"0,58 €"
Transaction Fee T2,"0,70 €"
Transaction Fee T3,"1,50 €"
Transaction Fee T4,"0,50 €"
Transaction Fee T5,"0,80 €"
Transaction Fee T6,"1,80 €"
Transaction Fee G1,"0,30 €"
Transaction Fee G2,"0,30 €"
Transaction Fee G3,"0,40 €"
Transaction Fee G4,"0,40 €"
Transaction Fee G5,"0,30 €"
Transaction Fee G6,"0,30 €"
,Total
