0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Period:        01.02.2024        to        29.02.2024,,,,,,,,,,,,
,Unit:        Musterkunde AG                                                            12345,,,,,,,,,,,,
,,"wmview, wmProfile and User Profiles Query Segments:",,,,,,,,,,,
Query Reference:,T1:,,T2:,,T3:,,T4:,,T5:,,T6:,,
*Not specified*,,4,,0,,9,,0,,0,,0,"15,82 €"
AZR/31/27439,,0,,0,,12,,0,,0,,0,"18,00 €"
CCL/3715,,0,,0,,4,,0,,0,,0,"6,00 €"
CRS/28432,,5,,0,,36,,0,,0,,0,"56,90 €"
Cs/52113,,0,,0,,19,,0,,0,,0,"28,50 €"
GS 32090,,1,,0,,7,,0,,0,,0,"11,08 €"
Kpi/22695,,2,,0,,6,,0,,0,,0,"10,16 €"
PG 7772,,0,,0,,11,,0,,0,,0,"16,50 €"
Rjn/11138,,0,,0,,15,,0,,0,,0,"22,50 €"
SF-M 596/99-08,,0,,0,,5,,0,,0,,0,"7,50 €"
Ttrb/17885,,1,,0,,23,,0,,0,,0,"35,08 €"
WPN:24791,,1,,0,,4,,0,,0,,0,"6,58 €"
Wwt/15658,,0,,0,,11,,0,,0,,0,"16,50 €"
